id,duration,text_raw,cleaned_text
28,2.7,چون حداقلش ۱۲ واحده,چون حداقلش دوازده واحده
29,3.42,وضعیت آب و هوا در ۲۶ بهمن,وضعیت آب و هوا در بیست و شش بهمن
30,2.8586875,بازی با ذهن و فکر مردم,بازی با ذهن و فکر مردم
31,2.88,رستوران و دانشگاه,رستوران و دانشگاه
32,5.64,ببخشید، ساختمان فنی دانشگاه از این‌طرفه؟,ببخشید، ساختمان فنی دانشگاه از این‌طرفه؟
33,12.6,گاهی یک اجرای بسیار خوب می‌تواند ضعف‌های جزئی در آهنگسازی را پنهان کند و برعکس اجرای ضعیف ممکن است بهترین اثر موسیقایی را بی‌اثر جلوه دهد.,گاهی یک اجرای بسیار خوب می‌تواند ضعف‌های جزیی در آهنگسازی را پنهان کند و برعکس اجرای ضعیف ممکن است بهترین اثر موسیقایی را بی‌اثر جلوه دهد.
34,6.0,عموم روی وب‌کم لپ‌تاپش برچسب زده گفتم چرا زدی؟,عموم روی وب‌کم لپ‌تاپش برچسب زده گفتم چرا زدی؟
35,12.1386875,در سال جاری در موضوع دارو، ارز ترجیحی برداشته‌شده و شرکت‌ها دیگر معطل دریافت مواد اولیه با ارز ترجیحی نیستند زیرا پروسه‌ای زمان‌بر بود.,در سال جاری در موضوع دارو، ارز ترجیحی برداشته‌شده و شرکت‌ها دیگر معطل دریافت مواد اولیه با ارز ترجیحی نیستند زیرا پروسه‌ای زمان‌بر بود.
36,11.76,او در ۱۷ آبان ۱۳۵۷ در کرج به دنیا آمد و با تکنیک فردی فوق‌العاده و کنترل بی‌نظیر توپ توانست نگاه کارشناسان و هواداران را به خود جلب کند.,او در هفده آبان یک هزار و سیصد و پنجاه و هفت در کرج به دنیا آمد و با تکنیک فردی فوق‌العاده و کنترل بی‌نظیر توپ توانست نگاه کارشناسان و هواداران را به خود جلب کند.
37,3.1579375,دنبال دیدار با روحانی نیستم.,دنبال دیدار با روحانی نیستم.
38,3.221375,با زیرنویس چسبیده می‌شه بفرستید,با زیرنویس چسبیده می‌شه بفرستید
39,4.68,اگر درس نمی‌خواند، همیشه در همان مغازۀ مکانیکی می‌ماند.,اگر درس نمی‌خواند، همیشه در همان مغازۀ مکانیکی می‌ماند.
40,2.965375,مثل بچه‌ها رفتار می‌کنن.,مثل بچه‌ها رفتار می‌کنن.
41,1.56,انسانی داریم؟,انسانی داریم؟
42,5.58,خیلی‌هاشان امیدوارند یک روز به خانه برگردند.,خیلی‌هاشان امیدوارند یک روز به خانه برگردند.
43,9.36,در نزدیکی شهر یک پارک جنگلی به مساحت پنج‌کیلومتری وجود دارد که محل مناسبی برای ورزش است.,در نزدیکی شهر یک پارک جنگلی به مساحت پنج‌کیلومتری وجود دارد که محل مناسبی برای ورزش است.
44,9.6,حضور زنان در اقتصاد به معنای آینده‌ای برابرتر، قوی‌تر و انسانی‌تر برای همه است.,حضور زنان در اقتصاد به معنای آینده‌ای برابرتر، قوی‌تر و انسانی‌تر برای همه است.
45,3.66,نه نه‌فقط می‌خواستم مطمئن بشم که داستان همینه.,نه نه‌فقط می‌خواستم مطمین بشم که داستان همینه.
46,7.2,یه پهپاد کلا ۶ کیلو مهمات حمل می‌کنه باید بمب‌افکن و جنگنده داشته باشن که ندارن.,یه پهپاد کلا شش کیلو مهمات حمل می‌کنه باید بمب‌افکن و جنگنده داشته باشن که ندارن.
47,4.26,سوفی در ساوانا بزرگ شد و ماجراهای زیادی را تجربه کرد.,سوفی در ساوانا بزرگ شد و ماجراهای زیادی را تجربه کرد.
48,2.325375,جهت ارائه به سفارت,جهت ارایه به سفارت
49,3.78,امروز کشور از استقلال برخوردار است.,امروز کشور از استقلال برخوردار است.
50,8.94,اگه وقت داشتیم، یه جلسه هم‌اندیشی دیگه هم برگزار کنیم، خیلی خوب می‌شه.,اگه وقت داشتیم، یه جلسه هم‌اندیشی دیگه هم برگزار کنیم، خیلی خوب می‌شه.
51,3.0,فرهنگ و آداب و رسوم ایران,فرهنگ و آداب و رسوم ایران
52,10.62,سرعت انتشار تب برفکی بسیار بالا است و به همین دلیل کنترل آن یکی‌از چالش‌های اصلی دامپزشکان محسوب می‌شود.,سرعت انتشار تب برفکی بسیار بالا است و به همین دلیل کنترل آن یکی‌از چالش‌های اصلی دامپزشکان محسوب می‌شود.
53,4.86,محمد انگشت‌های خامه‌ای‌اش را روی صورت شیرین کشید.,محمد انگشت‌های خامه‌ای‌اش را روی صورت شیرین کشید.
54,5.973375,هدایت استقلال را به عنوان مربی موقت قبول کرد.,هدایت استقلال را به عنوان مربی موقت قبول کرد.
55,11.88,برای مثال، ممکن است تعهد به پرداخت نفقه برای فرزندان یا تعهد به تقسیم دارایی‌ها از جمله این پیش شرط‌ها باشد.,برای مثال، ممکن است تعهد به پرداخت نفقه برای فرزندان یا تعهد به تقسیم دارایی‌ها از جمله این پیش شرط‌ها باشد.
56,13.32,حسن روحانی رئیس‌جمهوری ایران نیز از جمله کسانی بود که به رد صلاحیت‌های گسترده توسط شورای نگهبان، واکنش نشان داده و از آن انتقاد کرده بود.,حسن روحانی رییس‌جمهوری ایران نیز از جمله کسانی بود که به رد صلاحیت‌های گسترده توسط شورای نگهبان، واکنش نشان داده و از آن انتقاد کرده بود.
57,3.3,با شندیدن این کلمه یه پوزخند زد.,با شندیدن این کلمه یه پوزخند زد.
58,5.7,ماشینای سایپا توی ایران خیلی محبوبن و طرفدار زیاد دارن.,ماشینای سایپا توی ایران خیلی محبوبن و طرفدار زیاد دارن.
59,6.8906875,نمایندگان مجلس یا مقامات نشسته‌اند و به دوروبر خود نگاه می‌کنند.,نمایندگان مجلس یا مقامات نشسته‌اند و به دوروبر خود نگاه می‌کنند.
60,4.38,به دلیل حذف ربات اصلی از گروه خارج می‌شوم,به دلیل حذف ربات اصلی از گروه خارج می‌شوم
61,5.82,مامور پرسید این موقع شب از کجا میاین همزمان چهارتایی گفتیم بیمارستان,مامور پرسید این موقع شب از کجا میاین همزمان چهارتایی گفتیم بیمارستان
62,6.78,ایران به‌هیچ‌وجه بر سر امنیت خود معامله نمی‌کند.,ایران به‌هیچ‌وجه بر سر امنیت خود معامله نمی‌کند.
63,2.773375,دقیقا اینکارو کردیم,دقیقا اینکارو کردیم
64,2.7,لبخند شیرین و صمیمی,لبخند شیرین و صمیمی
65,3.18,به سرزمین فراموش‌شده خوش آمدی.,به سرزمین فراموش‌شده خوش آمدی.
66,2.22,باید از جزئیات باخبر بشه!,باید از جزییات باخبر بشه!
67,4.86,مادر بودن یعنی الگو بودن، نه کامل بودن.,مادر بودن یعنی الگو بودن، نه کامل بودن.
68,4.56,ازدواج بعد از ۳۰ سالگی بازم قشنگه!,ازدواج بعد از سی سالگی بازم قشنگه!
69,1.2586875,نمی‌دانم.,نمی‌دانم.
70,7.26,سینی را روی میز گذاشت و شروع کرد به چیدن ظرف‌ها و قاشق و چنگال‌ها روی میز.,سینی را روی میز گذاشت و شروع کرد به چیدن ظرف‌ها و قاشق و چنگال‌ها روی میز.
71,2.7,منم آماده می‌شم تا تو بیای.,منم آماده می‌شم تا تو بیای.
72,8.88,با تمرین و تلاش برای درک عمیق‌تر آهنگ‌هایی که می‌خونین، می‌تونین به یک خواننده تاثیرگذار و خاطره‌انگیز تبدیل بشین.,با تمرین و تلاش برای درک عمیق‌تر آهنگ‌هایی که می‌خونین، می‌تونین به یک خواننده تاثیرگذار و خاطره‌انگیز تبدیل بشین.
73,3.3,بیا همدیگه رو فراموش کنیم.,بیا همدیگه رو فراموش کنیم.
74,5.9306875,دختر جوانی با تاپ و شلوار مشکی عجیب و غریب با نقش اسکلت,دختر جوانی با تاپ و شلوار مشکی عجیب و غریب با نقش اسکلت
75,8.88,صداهایی که در پس‌شرایط روزگار به فراموشی سپرده می‌شوند.,صداهایی که در پس‌شرایط روزگار به فراموشی سپرده می‌شوند.
76,12.06,هیچ‌کدام از رهبران طالب با آموزش زنان مخالف نیستند و احتمال داد که در این نشست، بازگشت دختران به مدارس اعلام خواهد شد.,هیچ‌کدام از رهبران طالب با آموزش زنان مخالف نیستند و احتمال داد که در این نشست، بازگشت دختران به مدارس اعلام خواهد شد.
77,7.32,من با شرم و اندوه دست‌وپنجه نرم می‌کردم و کمال‌طلبی ماهرانه آن را پوشانده بود.,من با شرم و اندوه دست‌وپنجه نرم می‌کردم و کمال‌طلبی ماهرانه آن را پوشانده بود.
78,8.981375,افسانه‌ای که به ما می‌آموزد گاهی باید به چیزهایی که دیگران نمی‌بینند، ایمان داشت و گاهی باید مثل یک برگ پاییزی، شجاعت رها شدن را داشته باشیم.,افسانه‌ای که به ما می‌آموزد گاهی باید به چیزهایی که دیگران نمی‌بینند، ایمان داشت و گاهی باید مثل یک برگ پاییزی، شجاعت رها شدن را داشته باشیم.
79,3.72,قراره تا چند روز دیگه بره سربازی,قراره تا چند روز دیگه بره سربازی
80,3.42,نخست‌وزیر مستعفی لبنان,نخست‌وزیر مستعفی لبنان
81,3.9,به‌جای برنج سفید، برنج قهوه‌ای استفاده کنید.,به‌جای برنج سفید، برنج قهوه‌ای استفاده کنید.
82,4.74,امین دلتنگی‌هایش را در دل نگه نمی‌دارد.,امین دلتنگی‌هایش را در دل نگه نمی‌دارد.
83,3.42,سلام و عرض ادب خدمت شما,سلام و عرض ادب خدمت شما
84,6.72,دیگه این کارای احمقانه رو تموم کن، خودت و بقیه رو اذیت نکن.,دیگه این کارای احمقانه رو تموم کن، خودت و بقیه رو اذیت نکن.
85,4.92,در شرایط خاص پزشکی نیز باید درمان تحت نظر پزشک انجام شود.,در شرایط خاص پزشکی نیز باید درمان تحت نظر پزشک انجام شود.
86,2.28,منظورت از این حرف چی بود؟,منظورت از این حرف چی بود؟
87,5.64,او به سامان گفت: من شنیدم که غذاهای تو طعم شیراز را در خود دارند.,او به سامان گفت: من شنیدم که غذاهای تو طعم شیراز را در خود دارند.
88,6.42,این تغییرات کوچک در طول زمان باعث بازسازی ذهن و کاهش احساس گناه غیرمنطقی می‌شود.,این تغییرات کوچک در طول زمان باعث بازسازی ذهن و کاهش احساس گناه غیرمنطقی می‌شود.
89,5.32,برندگان جایزه نقدی هفته سوم جشنواره,برندگان جایزه نقدی هفته سوم جشنواره
90,3.36,چقدر حل مسائل تو ایران راحته,چقدر حل مسایل تو ایران راحته
91,4.32,من مدرک پیش دانشگاهیمو ندارم ظاهرا گمش کردم.,من مدرک پیش دانشگاهیمو ندارم ظاهرا گمش کردم.
92,5.34,اگه یه غذا گرونه لزوما به این معنی نیست که خوشمزه‌ست.,اگه یه غذا گرونه لزوما به این معنی نیست که خوشمزه‌ست.
93,7.5,۷ کیلومتر از تصرفات بخش خصوصی آزادسازی شد.,هفت کیلومتر از تصرفات بخش خصوصی آزادسازی شد.
94,8.66,می‌خواهم کاری کنم که هیچ‌کس مجبور نشود از این خاک دور شود چون فکر می‌کند زندگی جای دیگری است.,می‌خواهم کاری کنم که هیچ‌کس مجبور نشود از این خاک دور شود چون فکر می‌کند زندگی جای دیگری است.
95,6.84,صرف زمان و انرژی زیاد برای برنامه‌ریزی فعالیت‌های جنسی,صرف زمان و انرژی زیاد برای برنامه‌ریزی فعالیت‌های جنسی
96,5.16,یه بار یکی‌از شاگردام اومد و گفت معلم از من باج خواسته!,یه بار یکی‌از شاگردام اومد و گفت معلم از من باج خواسته!
97,6.36,زغال را آماده کرده و سیخ‌ها را روی حرارت متوسط کباب کن.,زغال را آماده کرده و سیخ‌ها را روی حرارت متوسط کباب کن.
98,7.02,این عسل ذخیره‌ای حیاتی برای روزهای سرد زمستان است که گل‌ها در دسترس نیستند.,این عسل ذخیره‌ای حیاتی برای روزهای سرد زمستان است که گل‌ها در دسترس نیستند.
99,3.36,تغییر چهره فرهنگی و هنری شهر,تغییر چهره فرهنگی و هنری شهر
100,1.26,کجا بودی؟,کجا بودی؟
101,6.54,وی قرار است پس‌از سفر به سوریه، به لبنان برود.,وی قرار است پس‌از سفر به سوریه، به لبنان برود.
102,5.1025,جنگلای شمال سبز و مرطوب و پر از صدای پرنده.,جنگلای شمال سبز و مرطوب و پر از صدای پرنده.
103,7.02,مثلا تصور کن توی یه کافه شیک نشستی، یه لیوان قهوه جلوته و داری کدت رو می‌نویسی.,مثلا تصور کن توی یه کافه شیک نشستی، یه لیوان قهوه جلوته و داری کدت رو می‌نویسی.
104,8.16,مثلا در محیط کار، یک مدیر ناکارآمد ممکن است مسئولیت ضعف‌های سازمان را به دوش کارمندان بگذارد.,مثلا در محیط کار، یک مدیر ناکارآمد ممکن است مسیولیت ضعف‌های سازمان را به دوش کارمندان بگذارد.
105,2.22,مهره‌های صهیونیست,مهره‌های صهیونیست
106,6.66,آسیب به سلامت روان یکی دیگر از تهدیدهای مهم است.,آسیب به سلامت روان یکی دیگر از تهدیدهای مهم است.
107,4.0106875,در نظر گرفته بود که امکان داشت این فکر بسیار بدی باشد.,در نظر گرفته بود که امکان داشت این فکر بسیار بدی باشد.
108,10.26,در نهایت، قلعه حسن‌خان به شهر قدس تغییر نام داد و به عنوان یک شهر مستقل در استان تهران شناخته شد.,در نهایت، قلعه حسن‌خان به شهر قدس تغییر نام داد و به عنوان یک شهر مستقل در استان تهران شناخته شد.
109,4.56,شاهنامه‌خوانی و هویت ملی,شاهنامه‌خوانی و هویت ملی
110,5.94,دقت می‌کنم و می‌بینم مردم شهر دنبال تفکر و اندیشه جدیدی نیستند.,دقت می‌کنم و می‌بینم مردم شهر دنبال تفکر و اندیشه جدیدی نیستند.
111,7.616,۴۵ سال از خون شهدا استفاده کردند و این‌همه ظلم در حق خانواده آن‌ها کردند.,چهل و پنج سال از خون شهدا استفاده کردند و این‌همه ظلم در حق خانواده آن‌ها کردند.
112,4.98,هردو با نگاهی به هم همزمان گفتند: اومدیم.,هردو با نگاهی به هم همزمان گفتند: اومدیم.
113,5.82,قزوین رو بهش می‌گن پایتخت خوشنویسی ایران.,قزوین رو بهش می‌گن پایتخت خوشنویسی ایران.
114,14.58,در دوران معاصر، با گسترش صنعت و ورود فناوری‌های جدید، هنر سنتی شیشه‌گری ایران چالش‌های تازه‌ای را تجربه کرده است.,در دوران معاصر، با گسترش صنعت و ورود فناوری‌های جدید، هنر سنتی شیشه‌گری ایران چالش‌های تازه‌ای را تجربه کرده است.
115,8.04,عکس‌هایی که گرفتی، داستان‌هایی که تعریف می‌کنی، و حتی اون حس خوبی که موقع مرور کردنشون داری.,عکس‌هایی که گرفتی، داستان‌هایی که تعریف می‌کنی، و حتی اون حس خوبی که موقع مرور کردنشون داری.
116,7.5,برای برگزاری آزمون استخدامی در آموزش و پرورش تاریخ دقیقی مشخص نشده است.,برای برگزاری آزمون استخدامی در آموزش و پرورش تاریخ دقیقی مشخص نشده است.
117,6.36,تشک‌های نرم ممکن است نتوانند حمایت کافی از کمر فراهم کنند.,تشک‌های نرم ممکن است نتوانند حمایت کافی از کمر فراهم کنند.
118,3.6,سپس چوب‌دستش را برداشت.,سپس چوب‌دستش را برداشت.
119,7.44,مرد قوی‌هیکل او را خطاب کرد و با عصبانیت گفت: «دست پدرت را بگیر و از این‌جا برو گم شو.»,مرد قوی‌هیکل او را خطاب کرد و با عصبانیت گفت: «دست پدرت را بگیر و از این‌جا برو گم شو.»
120,8.7,با ورود فناوری‌های جدید و تغییر سبک زندگی، بسیاری از هنرهای سنتی در معرض فراموشی قرار گرفته‌اند.,با ورود فناوری‌های جدید و تغییر سبک زندگی، بسیاری از هنرهای سنتی در معرض فراموشی قرار گرفته‌اند.
121,5.6125,مراسم عروسی با حضور خانواده و دوستان برگزار شد.,مراسم عروسی با حضور خانواده و دوستان برگزار شد.
122,4.98,برای تخفیف گرفتن آن‌قدر چک و چانه زد که فروشنده کلافه شد.,برای تخفیف گرفتن آن‌قدر چک و چانه زد که فروشنده کلافه شد.
123,5.04,لیاقت یک فرد به اخلاق و رفتار او بستگی دارد.,لیاقت یک فرد به اخلاق و رفتار او بستگی دارد.
124,5.5925,استاد کمک می‌کند اشتباهات زودتر اصلاح شوند و به صدا آسیب نرسد.,استاد کمک می‌کند اشتباهات زودتر اصلاح شوند و به صدا آسیب نرسد.
125,3.42,توصیه می‌کنم به این دو کتاب سری بزنید,توصیه می‌کنم به این دو کتاب سری بزنید
126,12.06,پروژه‌های ساختمانی و صنعتی، سیستم‌های صوتی بلند در مغازه‌ها و حتی تجمعات و جشن‌های شهری نیز از دیگر منابع آلودگی صوتی محسوب می‌شوند.,پروژه‌های ساختمانی و صنعتی، سیستم‌های صوتی بلند در مغازه‌ها و حتی تجمعات و جشن‌های شهری نیز از دیگر منابع آلودگی صوتی محسوب می‌شوند.
127,5.22,سلام بابا، این شعرایی که می‌خونی همشون کار نیما یوشیجه؟,سلام بابا، این شعرایی که می‌خونی همشون کار نیما یوشیجه؟
128,3.06,از روی ماه او نور به قلبم تابید.,از روی ماه او نور به قلبم تابید.
129,3.84,زیست‌شناسی مغز و اخلاقیات,زیست‌شناسی مغز و اخلاقیات
130,12.96,یا تصور کن روی یه قایق تو یه دریاچه آرام هستی، دور و برت کوه‌های سرسبز، و همه‌چیز اونقدر آرومه که انگار دنیا وایستاده.,یا تصور کن روی یه قایق تو یه دریاچه آرام هستی، دور و برت کوه‌های سرسبز، و همه‌چیز اونقدر آرومه که انگار دنیا وایستاده.
131,8.661375,و از دیگران به عنوان ابزاری برای نفرت پراکنی استفاده می‌کند درحالی که دیگران سعی دارند به صلح برسند.,و از دیگران به عنوان ابزاری برای نفرت پراکنی استفاده می‌کند درحالی که دیگران سعی دارند به صلح برسند.
132,4.416,از هر چیزی ناراحت می‌شود، انگار بالای چشمش ابروست!,از هر چیزی ناراحت می‌شود، انگار بالای چشمش ابروست!
133,2.82,اسراییل در این جنگ باخت.,اسراییل در این جنگ باخت.
134,4.2,کی می‌تواند بهتر از تو این حقیقت را بداند؟,کی می‌تواند بهتر از تو این حقیقت را بداند؟
135,4.68,بزرگ‌ترین بازار سرپوشیده جهان.,بزرگ‌ترین بازار سرپوشیده جهان.
136,7.32,طاعون که یکی‌از مرگبارترین بیماری‌های تاریخ بشر بوده است، در قرون وسطی میلیون‌ها نفر را به کام مرگ کشاند.,طاعون که یکی‌از مرگبارترین بیماری‌های تاریخ بشر بوده است، در قرون وسطی میلیون‌ها نفر را به کام مرگ کشاند.
137,8.52,مجسمه‌ها، نقاشی‌ها و معماری عظیم مانند اهرام نشان‌دهنده قدرت فرعون و باور به جاودانگی بود.,مجسمه‌ها، نقاشی‌ها و معماری عظیم مانند اهرام نشان‌دهنده قدرت فرعون و باور به جاودانگی بود.
138,8.82,صعود به کلیمانجارو، چالش بزرگی بود، اما مناظر بی‌نظیری که در طول مسیر دیدیم، خستگی را از تنمان بیرون کرد.,صعود به کلیمانجارو، چالش بزرگی بود، اما مناظر بی‌نظیری که در طول مسیر دیدیم، خستگی را از تنمان بیرون کرد.
139,3.78,ماهان برادر بزرگ ماست درست!,ماهان برادر بزرگ ماست درست!
140,3.1146875,واسه اولین بار بهم بگو,واسه اولین بار بهم بگو
141,5.3546875,و در ادامه بارش باران، موجب لغزندگی سطح جاده شد.,و در ادامه بارش باران، موجب لغزندگی سطح جاده شد.
142,9.3,او با سیاست‌های اقتصادی سختگیرانه و توزیع‌محور تلاش کرد منابع محدود را برای پشتیبانی جبهه‌ها مدیریت کند.,او با سیاست‌های اقتصادی سختگیرانه و توزیع‌محور تلاش کرد منابع محدود را برای پشتیبانی جبهه‌ها مدیریت کند.
143,5.4826875,احمق چجوری روت شد بنویسی مراقبت‌های کنکورو بردارن,احمق چجوری روت شد بنویسی مراقبت‌های کنکورو بردارن
144,10.68,آینده هر کشور در دستان انسان‌هایی است که توانایی ساختن آن را دارند و حفظ این توانایی‌ها یکی‌از مهم‌ترین وظایف هر نظام اجتماعی است.,آینده هر کشور در دستان انسان‌هایی است که توانایی ساختن آن را دارند و حفظ این توانایی‌ها یکی‌از مهم‌ترین وظایف هر نظام اجتماعی است.
145,4.08,می‌ترسیدم بلاتکلیف یا دمدمی‌مزاج به نظر بیام.,می‌ترسیدم بلاتکلیف یا دمدمی‌مزاج به نظر بیام.
146,3.54,چه می‌کنه این بازیکن!,چه می‌کنه این بازیکن!
147,5.7,در پاریس، عطرهای گران‌قیمت و پارچه‌های مخملی توجهش را جلب کرد.,در پاریس، عطرهای گران‌قیمت و پارچه‌های مخملی توجهش را جلب کرد.
148,10.98,در مسیر مدرسه با دوستم الهام قدم می‌زدیم و از تکلیف علوم که هیچ‌کدام درست انجام نداده بودیم حرف می‌زدیم.,در مسیر مدرسه با دوستم الهام قدم می‌زدیم و از تکلیف علوم که هیچ‌کدام درست انجام نداده بودیم حرف می‌زدیم.
149,4.56,دیدی بهت گفتم خوندن این مطلب کمکی نمی‌کنه!,دیدی بهت گفتم خوندن این مطلب کمکی نمی‌کنه!
150,5.94,این درحالی است که صدها هزار دانش‌آموز مناطق محروم، گوشی هوشمند ندارند.,این درحالی است که صدها هزار دانش‌آموز مناطق محروم، گوشی هوشمند ندارند.
151,3.48,مدت توقف او در کنار آتش‌ها کوتاه بود.,مدت توقف او در کنار آتش‌ها کوتاه بود.
152,10.68,شاهرخ با صدای پرقدرت و سبک خاص خود، سالیان درازی در عرصه موسیقی پاپ فعالیت مستمر داشت.,شاهرخ با صدای پرقدرت و سبک خاص خود، سالیان درازی در عرصه موسیقی پاپ فعالیت مستمر داشت.
153,2.7,دود از کنده بلند شدن,دود از کنده بلند شدن
154,3.9075,این‌بار دیگه نمی‌بخشم,این‌بار دیگه نمی‌بخشم
155,2.28,با قاطعیت پرسید,با قاطعیت پرسید
156,4.02,این مصاحبه جالبی است، از دست ندهید.,این مصاحبه جالبی است، از دست ندهید.
157,3.1225,حقیقت شامل نوع بشر می‌شود.,حقیقت شامل نوع بشر می‌شود.
158,3.54,دوست داشتم مثمر ثمر واقع باشم.,دوست داشتم مثمر ثمر واقع باشم.
159,6.42,خطوط منحنی طاق‌ها، استعاره‌ای از فراز و نشیب زندگی است.,خطوط منحنی طاق‌ها، استعاره‌ای از فراز و نشیب زندگی است.
160,2.069375,داره میاد؟,داره میاد؟
161,14.905,این واقعه بزرگ که به مرگ سیاه معروف شد، باعث شد مردم اروپا و برخی مناطق دیگر تصور کنند خداوند برای هشدار یا تنبیه انسان‌ها این بلا را بر آنها نازل کرده است.,این واقعه بزرگ که به مرگ سیاه معروف شد، باعث شد مردم اروپا و برخی مناطق دیگر تصور کنند خداوند برای هشدار یا تنبیه انسان‌ها این بلا را بر آنها نازل کرده است.
162,8.88,آماده‌سازی زمین شامل شخم عمیق، تسطیح و افزودن کود دامی پوسیده می‌باشد.,آماده‌سازی زمین شامل شخم عمیق، تسطیح و افزودن کود دامی پوسیده می‌باشد.
163,6.42,لحظه‌ای برای رهایی از فشارها و لذت‌بردن از خلق یک چیز خوشمزه.,لحظه‌ای برای رهایی از فشارها و لذت‌بردن از خلق یک چیز خوشمزه.
164,3.18,همین حرف برای ناامیدیشان کافی بود.,همین حرف برای ناامیدیشان کافی بود.
